,avalanches
546,"[1, 7]"
547,"[1, 2]"
548,"[1, 6]"
549,"[1, 3]"
550,"[1, 1]"
551,"[1, 1]"
552,"[1, 1]"
553,"[1, 2]"
554,"[1, 2]"
555,"[1, 3]"
556,"[1, 4]"
557,"[1, 5]"
558,"[1, 4]"
559,"[1, 6]"
560,"[1, 4]"
561,"[1, 5]"
562,"[1, 3]"
563,"[1, 1]"
564,"[1, 1]"
565,"[1, 1]"
566,"[2, 23, 283, 849, 1320, 1505, 1032, 573, 260, 89, 268, 554, 621, 471, 677, 178, 20, 84, 269, 647, 688, 631, 1011, 388, 143, 506, 847, 1224, 1399, 1716, 526, 39]"
567,"[1, 5]"
568,"[1, 8]"
569,"[1, 7]"
570,"[1, 12]"
571,"[1, 11]"
572,"[1, 7]"
573,"[4, 30, 339, 824, 1138, 1263, 572, 992, 252, 3]"
574,"[1, 15]"
575,"[1, 24]"
576,"[1, 16]"
577,"[1, 23]"
578,"[1, 1]"
579,"[1, 2]"
580,"[1, 3]"
581,"[1, 1]"
582,"[1, 3]"
583,"[1, 5]"
584,"[1, 1]"
585,"[1, 5]"
586,"[1, 3]"
587,"[4, 31, 260, 644, 1197, 1300, 1340, 631, 48]"
588,"[1, 3]"
589,"[1, 18]"
590,"[1, 5]"
591,"[1, 8]"
592,"[1, 11]"
593,"[1, 13]"
594,"[1, 5]"
595,"[1, 8]"
596,"[1, 10]"
597,"[1, 14]"
598,"[1, 2]"
599,"[1, 5]"
600,"[1, 10]"
601,"[1, 14]"
602,"[1, 8]"
603,"[1, 14]"
604,"[1, 12]"
605,"[1, 11]"
606,"[1, 11]"
607,"[1, 5]"
608,"[1, 11]"
609,"[2, 28, 308, 918, 1211, 771, 1553, 397, 226]"
610,"[1, 25]"
611,"[1, 18]"
612,"[1, 19]"
613,"[1, 7]"
614,"[1, 7]"
615,"[1, 6]"
616,"[1, 7]"
617,"[1, 4]"
618,"[1, 7]"
619,"[1, 6]"
620,"[1, 7]"
621,"[1, 2]"
622,"[1, 6]"
623,"[1, 10]"
624,"[1, 2]"
625,"[1, 2]"
626,"[1, 5]"
627,"[1, 8]"
628,"[1, 9]"
629,"[1, 6]"
630,"[1, 6]"
631,"[1, 10]"
632,"[1, 6]"
633,"[1, 3]"
634,"[1, 1]"
635,"[1, 1]"
636,"[1, 3]"
637,"[1, 7]"
638,"[1, 2]"
639,"[1, 6]"
640,"[1, 7]"
641,"[1, 7]"
642,"[1, 4]"
643,"[1, 2]"
644,"[1, 1]"
645,"[1, 9]"
646,"[1, 7]"
647,"[1, 1]"
648,"[1, 2]"
649,"[1, 5]"
650,"[1, 5]"
651,"[1, 4]"
652,"[1, 3]"
653,"[1, 2]"
654,"[1, 8]"
655,"[1, 7]"
656,"[1, 4]"
657,"[1, 2]"
658,"[1, 2]"
659,"[1, 2]"
660,"[1, 2]"
661,"[1, 1]"
662,"[1, 1]"
663,"[1, 1]"
664,"[1, 4]"
665,"[1, 2]"
666,"[1, 1]"
667,"[1, 1]"
668,"[1, 1]"
669,"[1, 6]"
670,"[1, 11]"
671,"[1, 2]"
672,"[1, 1]"
673,"[1, 1]"
674,"[1, 1]"
675,"[1, 3]"
676,"[1, 14]"
677,"[1, 2]"
678,"[1, 1]"
679,"[1, 5]"
680,"[1, 2]"
681,"[1, 6]"
682,"[1, 4]"
683,"[1, 10]"
684,"[1, 8]"
685,"[1, 13]"
686,"[1, 4]"
687,"[1, 12]"
688,"[1, 7]"
689,"[1, 3]"
690,"[1, 6]"
691,"[1, 3]"
692,"[1, 1]"
693,"[12, 210, 282, 162, 206]"
694,"[2, 16, 190, 638, 1161, 1308, 1117, 915, 179, 91, 253, 611, 756, 1301, 727, 176]"
695,"[1, 1]"
696,"[1, 1]"
697,"[1, 4]"
698,"[1, 6]"
699,"[1, 10]"
700,"[1, 25]"
701,"[1, 27]"
702,"[1, 12]"
703,"[1, 13]"
704,"[1, 15]"
705,"[1, 9]"
706,"[1, 12]"
707,"[1, 11]"
708,"[1, 7]"
709,"[1, 2]"
710,"[1, 5]"
711,"[1, 3]"
712,"[1, 1]"
713,"[1, 3]"
714,"[1, 4]"
715,"[1, 7]"
716,"[1, 7]"
717,"[1, 2]"
718,"[4, 42, 269, 802, 1382, 1051, 845, 226, 108]"
719,"[1, 7]"
720,"[1, 1]"
721,"[1, 2]"
722,"[1, 6]"
723,"[1, 7]"
724,"[1, 7]"
725,"[1, 6]"
726,"[1, 9]"
727,"[1, 15]"
728,"[1, 3]"
729,"[1, 1]"
730,"[1, 1]"
731,"[1, 7]"
732,"[1, 6]"
733,"[1, 4]"
734,"[1, 2]"
735,"[1, 6]"
736,"[1, 6]"
737,"[1, 2]"
738,"[1, 8]"
739,"[1, 5]"
740,"[1, 8]"
741,"[1, 7]"
742,"[1, 2]"
743,"[1, 8]"
744,"[1, 8]"
745,"[1, 4]"
746,"[1, 9]"
747,"[1, 7]"
748,"[1, 9]"
749,"[1, 9]"
750,"[3, 18, 193, 700, 1121, 1195, 688, 912, 128]"
751,"[1, 2]"
752,"[1, 12]"
753,"[1, 10]"
754,"[1, 2]"
755,"[1, 2]"
756,"[1, 4]"
757,"[1, 19]"
758,"[1, 15]"
759,"[1, 9]"
760,"[1, 7]"
761,"[1, 12]"
762,"[1, 6]"
763,"[1, 12]"
764,"[1, 1]"
765,"[1, 5]"
766,"[1, 3]"
767,"[1, 3]"
768,"[1, 1]"
769,"[1, 2]"
770,"[1, 2]"
771,"[1, 2]"
772,"[1, 2]"
773,"[1, 1]"
774,"[4, 43, 48]"
775,"[7, 15, 9]"
776,"[2, 3, 25, 214, 839, 1334, 1058, 1189, 604, 126]"
777,"[1, 2]"
778,"[1, 3]"
779,"[1, 7]"
780,"[1, 3]"
781,"[1, 6]"
782,"[1, 1]"
783,"[1, 1]"
784,"[1, 3]"
785,"[1, 2]"
786,"[1, 16]"
787,"[1, 11]"
788,"[1, 2]"
789,"[1, 12]"
790,"[1, 8]"
791,"[1, 3]"
792,"[1, 9]"
793,"[1, 5]"
794,"[1, 2]"
795,"[1, 1]"
796,"[1, 6]"
797,"[1, 3]"
798,"[1, 9]"
799,"[1, 7]"
800,"[1, 3]"
801,"[1, 13]"
802,"[1, 10]"
803,"[1, 5]"
804,"[1, 13]"
805,"[1, 7]"
806,"[1, 5]"
807,"[1, 2]"
808,"[1, 15]"
809,"[1, 5]"
810,"[1, 1]"
811,"[1, 1]"
812,"[2, 28, 276, 683, 1249, 1087, 487, 415, 9]"
813,"[1, 17]"
814,"[1, 2]"
815,"[1, 3]"
816,"[1, 9]"
817,"[1, 10]"
818,"[1, 15]"
819,"[1, 6]"
820,"[1, 9]"
821,"[1, 10]"
822,"[1, 4]"
823,"[1, 6]"
824,"[1, 1]"
825,"[1, 2]"
826,"[1, 3]"
827,"[1, 1]"
828,"[1, 1]"
829,"[1, 5]"
830,"[2, 17, 173, 625, 1016, 1044, 1264, 763, 311, 5]"
831,"[1, 21]"
832,"[1, 13]"
833,"[1, 14]"
834,"[1, 5]"
835,"[1, 6]"
836,"[1, 7]"
837,"[1, 9]"
838,"[1, 9]"
839,"[1, 3]"
840,"[1, 3]"
841,"[1, 3]"
842,"[1, 4]"
843,"[1, 5]"
844,"[1, 6]"
845,"[1, 5]"
846,"[1, 10]"
847,"[1, 8]"
848,"[1, 4]"
849,"[1, 1]"
850,"[1, 9]"
851,"[1, 4]"
852,"[1, 8]"
853,"[1, 5]"
854,"[1, 4]"
855,"[1, 5]"
856,"[1, 4]"
857,"[1, 9]"
858,"[1, 13]"
859,"[1, 2]"
860,"[1, 3]"
861,"[1, 3]"
862,"[1, 1]"
863,"[1, 3]"
864,"[1, 3]"
865,"[1, 2]"
866,"[1, 2]"
867,"[1, 1]"
868,"[1, 5]"
869,"[1, 2]"
870,"[1, 8]"
871,"[1, 5]"
872,"[1, 2]"
873,"[1, 6]"
874,"[1, 3]"
875,"[1, 18]"
876,"[13, 76, 455, 904, 967, 1200, 595, 230]"
877,"[1, 12]"
878,"[1, 3]"
879,"[1, 1]"
880,"[1, 3]"
881,"[1, 1]"
882,"[1, 2]"
883,"[1, 2]"
884,"[1, 4]"
885,"[1, 8]"
886,"[1, 5]"
887,"[1, 9]"
888,"[1, 10]"
889,"[1, 3]"
890,"[1, 1]"
891,"[1, 1]"
892,"[1, 1]"
893,"[1, 4]"
894,"[1, 8]"
895,"[1, 2]"
896,"[1, 3]"
897,"[1, 5]"
898,"[1, 1]"
899,"[1, 1]"
900,"[1, 2]"
901,"[1, 4]"
902,"[5, 41, 209, 644, 1183, 1387, 1465, 1077, 662, 215, 12]"
903,"[1, 6]"
904,"[1, 4]"
905,"[1, 2]"
906,"[1, 4]"
907,"[1, 7]"
908,"[1, 1]"
909,"[1, 1]"
910,"[1, 3]"
911,"[1, 3]"
912,"[1, 1]"
913,"[1, 2]"
914,"[1, 3]"
915,"[1, 2]"
916,"[1, 4]"
917,"[1, 2]"
918,"[1, 6]"
919,"[1, 5]"
920,"[1, 3]"
921,"[1, 10]"
922,"[1, 7]"
923,"[1, 3]"
924,"[1, 7]"
925,"[1, 9]"
926,"[12, 14, 12]"
927,"[11, 14, 24]"
928,"[1, 16]"
929,"[1, 17]"
930,"[1, 5]"
931,"[1, 21]"
932,"[1, 6]"
933,"[1, 1]"
934,"[1, 17]"
935,"[1, 3]"
936,"[1, 10]"
937,"[1, 14]"
938,"[1, 6]"
939,"[1, 5]"
940,"[1, 9]"
941,"[1, 3]"
942,"[1, 1]"
943,"[1, 10]"
944,"[1, 9]"
945,"[1, 9]"
946,"[1, 1]"
947,"[1, 4]"
948,"[2, 9, 90, 431, 1091, 1297, 1401, 1203, 853, 990, 1083, 1228, 1218, 1356, 1260, 810, 585, 617, 793, 761, 831, 1835, 1416, 580, 458, 634, 599, 503, 1239, 810, 449, 411, 596, 968, 1331, 2576, 1347, 615, 417, 52]"
949,"[1, 1]"
950,"[1, 1]"
951,"[1, 2]"
952,"[1, 12]"
953,"[2, 18, 134, 578, 1376, 1336, 1065, 1128, 214, 209, 70]"
954,"[1, 18]"
955,"[1, 11]"
956,"[1, 1]"
957,"[1, 3]"
958,"[1, 3]"
959,"[1, 2]"
960,"[1, 2]"
961,"[1, 3]"
962,"[1, 3]"
963,"[1, 3]"
964,"[1, 3]"
965,"[1, 3]"
966,"[1, 3]"
967,"[1, 2]"
968,"[1, 2]"
969,"[1, 2]"
970,"[1, 6]"
971,"[1, 7]"
972,"[1, 4]"
973,"[1, 4]"
974,"[1, 5]"
975,"[1, 14]"
976,"[1, 11]"
977,"[5, 58, 354, 862, 975, 1443, 1064, 1366, 449, 231, 339, 578, 706, 738, 555, 361, 66]"
978,"[1, 8]"
979,"[1, 11]"
980,"[1, 16]"
981,"[20, 24, 27]"
982,"[23, 26, 43]"
983,"[26, 27, 30]"
984,"[2, 20, 222, 740, 1083, 1315, 1271, 830, 271, 95, 7]"
985,"[1, 1]"
986,"[1, 23]"
987,"[1, 9]"
988,"[1, 9]"
989,"[1, 3]"
990,"[1, 14]"
991,"[2, 21, 256, 655, 1132, 1213, 727, 452, 530, 268]"
992,"[1, 15]"
993,"[1, 7]"
994,"[1, 2]"
995,"[1, 3]"
996,"[1, 2]"
997,"[1, 6]"
998,"[18, 36, 43]"
999,"[2, 9, 137, 506, 957, 1108, 790, 906, 633, 331, 94, 9]"
1000,"[1, 2]"
1001,"[1, 8]"
1002,"[1, 6]"
1003,"[1, 3]"
1004,"[1, 9]"
1005,"[1, 9]"
1006,"[1, 9]"
1007,"[1, 6]"
1008,"[1, 13]"
1009,"[1, 11]"
1010,"[1, 5]"
1011,"[1, 4]"
1012,"[1, 14]"
1013,"[1, 17]"
1014,"[1, 13]"
1015,"[1, 7]"
1016,"[1, 2]"
1017,"[1, 10]"
1018,"[5, 55, 455, 1065, 1125, 886, 1279, 549, 216, 10]"
1019,"[1, 8]"
1020,"[1, 9]"
1021,"[1, 8]"
1022,"[1, 11]"
1023,"[1, 1]"
1024,"[3, 27, 246, 957, 1323, 1549, 1867, 1015, 242, 89]"
1025,"[1, 12]"
1026,"[1, 8]"
1027,"[1, 16]"
1028,"[1, 21]"
1029,"[9, 89, 528, 969, 1172, 2227, 2043, 977, 399, 51]"
1030,"[1, 11]"
1031,"[1, 19]"
1032,"[1, 12]"
1033,"[5, 40, 226, 671, 1479, 1600, 2051, 1652, 1038, 453, 174, 54]"
1034,"[1, 16]"
1035,"[1, 18]"
1036,"[1, 8]"
1037,"[1, 10]"
1038,"[1, 4]"
1039,"[1, 11]"
1040,"[1, 5]"
1041,"[2, 18, 253, 663, 1051, 1387, 2045, 1987, 1401, 509, 167, 10]"
1042,"[1, 9]"
1043,"[6, 41, 237, 720, 929, 1006, 2213, 1660, 812, 303, 105]"
1044,"[1, 11]"
1045,"[1, 8]"
1046,"[1, 4]"
1047,"[1, 7]"
1048,"[1, 5]"
1049,"[1, 2]"
1050,"[1, 4]"
1051,"[1, 7]"
1052,"[1, 4]"
1053,"[1, 10]"
1054,"[1, 6]"
1055,"[1, 2]"
1056,"[5, 22, 147, 514, 729, 1636, 2050, 1905, 812, 215, 74]"
1057,"[1, 6]"
1058,"[1, 3]"
1059,"[1, 1]"
1060,"[1, 2]"
1061,"[1, 5]"
1062,"[1, 3]"
1063,"[1, 2]"
1064,"[1, 1]"
1065,"[1, 1]"
1066,"[1, 7]"
1067,"[2, 22, 261, 672, 1066, 1008, 1597, 2492, 1407, 457]"
1068,"[1, 20]"
1069,"[1, 7]"
1070,"[1, 5]"
1071,"[1, 5]"
1072,"[1, 6]"
1073,"[1, 2]"
1074,"[1, 15]"
1075,"[1, 9]"
1076,"[16, 114, 519, 934, 1042, 1822, 1255, 789, 107]"
1077,"[1, 23]"
1078,"[1, 8]"
1079,"[1, 6]"
1080,"[1, 6]"
1081,"[1, 4]"
1082,"[1, 8]"
1083,"[1, 4]"
1084,"[1, 9]"
1085,"[1, 3]"
1086,"[10, 88, 410, 1282, 1606, 1829, 1388, 628, 317, 63, 4]"
1087,"[1, 6]"
1088,"[4, 51, 426, 816, 1572, 1487, 734, 1117, 407, 60]"
1089,"[1, 15]"
1090,"[1, 8]"
1091,"[1, 9]"
1092,"[1, 6]"
1093,"[1, 5]"
1094,"[1, 3]"
1095,"[1, 3]"
1096,"[1, 1]"
1097,"[1, 4]"
1098,"[1, 1]"
1099,"[1, 4]"
1100,"[1, 1]"
1101,"[1, 1]"
1102,"[1, 1]"
1103,"[1, 1]"
1104,"[1, 1]"
1105,"[1, 3]"
1106,"[3, 34, 304, 807, 1171, 1173, 1098, 1359, 896, 340, 12]"
1107,"[1, 12]"
1108,"[1, 3]"
1109,"[1, 5]"
1110,"[1, 2]"
1111,"[1, 2]"
1112,"[1, 6]"
1113,"[1, 3]"
1114,"[1, 12]"
1115,"[1, 7]"
1116,"[2, 37, 351, 818, 1243, 1197, 1481, 925, 502, 3]"
1117,"[1, 5]"
1118,"[1, 1]"
1119,"[1, 11]"
1120,"[1, 6]"
1121,"[1, 11]"
1122,"[1, 6]"
1123,"[1, 9]"
1124,"[1, 4]"
1125,"[1, 6]"
1126,"[1, 5]"
1127,"[1, 2]"
1128,"[1, 3]"
1129,"[1, 2]"
1130,"[1, 1]"
1131,"[1, 1]"
1132,"[1, 1]"
1133,"[1, 2]"
1134,"[1, 2]"
1135,"[1, 4]"
1136,"[1, 5]"
1137,"[1, 2]"
1138,"[1, 1]"
1139,"[1, 2]"
1140,"[1, 1]"
1141,"[1, 1]"
1142,"[1, 16]"
1143,"[2, 25, 308, 831, 1059, 765, 1177, 938, 489, 211, 78, 2]"
1144,"[1, 11]"
1145,"[1, 7]"
1146,"[1, 4]"
1147,"[1, 1]"
1148,"[1, 1]"
1149,"[1, 10]"
1150,"[1, 9]"
1151,"[1, 5]"
1152,"[1, 2]"
1153,"[1, 1]"
1154,"[1, 6]"
1155,"[1, 4]"
1156,"[3, 34, 153, 825, 1129, 1267, 1324, 1107, 691, 375, 117]"
1157,"[1, 17]"
1158,"[1, 16]"
1159,"[1, 18]"
1160,"[1, 1]"
1161,"[1, 3]"
1162,"[1, 1]"
1163,"[1, 2]"
1164,"[1, 2]"
1165,"[1, 8]"
1166,"[1, 8]"
1167,"[1, 11]"
1168,"[1, 6]"
1169,"[1, 1]"
1170,"[5, 46, 293, 850, 1004, 1288, 616, 860, 278, 115, 8]"
1171,"[1, 16]"
1172,"[1, 2]"
1173,"[1, 1]"
1174,"[1, 3]"
1175,"[1, 5]"
1176,"[1, 9]"
1177,"[1, 1]"
1178,"[1, 3]"
1179,"[1, 4]"
1180,"[1, 4]"
1181,"[1, 2]"
1182,"[1, 3]"
1183,"[1, 4]"
1184,"[1, 4]"
1185,"[1, 3]"
1186,"[1, 6]"
1187,"[1, 10]"
1188,"[1, 1]"
1189,"[1, 3]"
1190,"[1, 6]"
1191,"[1, 1]"
1192,"[1, 3]"
1193,"[10, 45, 53]"
1194,"[1, 4]"
1195,"[1, 2]"
1196,"[1, 1]"
1197,"[1, 5]"
1198,"[1, 3]"
1199,"[1, 1]"
1200,"[1, 2]"
1201,"[1, 4]"
1202,"[1, 3]"
1203,"[1, 1]"
1204,"[1, 4]"
1205,"[1, 7]"
1206,"[1, 8]"
1207,"[1, 10]"
1208,"[1, 9]"
1209,"[1, 8]"
1210,"[1, 6]"
1211,"[1, 6]"
1212,"[1, 5]"
1213,"[1, 2]"
1214,"[1, 1]"
1215,"[1, 2]"
1216,"[1, 2]"
1217,"[1, 9, 39]"
1218,"[5, 42, 285, 469, 735, 630, 474, 176, 144]"
1219,"[1, 1]"
1220,"[1, 1]"
1221,"[1, 1]"
1222,"[1, 1]"
1223,"[1, 2]"
1224,"[1, 4]"
1225,"[1, 3]"
1226,"[1, 1]"
1227,"[1, 16]"
1228,"[1, 11]"
1229,"[1, 2]"
1230,"[1, 7]"
1231,"[1, 2]"
1232,"[1, 6]"
1233,"[1, 2]"
1234,"[1, 6]"
1235,"[1, 10]"
1236,"[1, 1]"
1237,"[1, 5]"
1238,"[1, 8]"
1239,"[1, 1]"
1240,"[1, 1]"
1241,"[1, 2]"
1242,"[1, 5]"
1243,"[1, 8]"
1244,"[1, 6]"
1245,"[1, 6]"
1246,"[1, 6]"
1247,"[1, 6]"
1248,"[1, 5]"
1249,"[1, 6]"
1250,"[1, 8]"
1251,"[1, 11]"
1252,"[1, 11]"
1253,"[1, 11]"
1254,"[1, 10]"
1255,"[1, 10]"
1256,"[1, 10]"
1257,"[1, 11]"
1258,"[1, 12]"
1259,"[1, 14]"
1260,"[1, 13]"
1261,"[1, 18]"
1262,"[1, 13]"
1263,"[1, 1]"
1264,"[1, 1]"
1265,"[1, 1]"
1266,"[1, 1]"
1267,"[1, 1]"
1268,"[1, 1]"
1269,"[1, 1]"
1270,"[1, 1]"
1271,"[1, 1]"
1272,"[1, 1]"
1273,"[1, 1]"
1274,"[1, 1]"
1275,"[1, 1]"
1276,"[1, 1]"
1277,"[1, 1]"
1278,"[1, 1]"
1279,"[1, 1]"
1280,"[4, 25, 244, 646, 1061, 1511, 1227, 403, 60]"
1281,"[1, 11]"
1282,"[1, 8]"
1283,"[1, 10]"
1284,"[1, 7]"
1285,"[1, 6]"
1286,"[1, 6]"
1287,"[1, 11]"
1288,"[1, 8]"
1289,"[1, 5]"
1290,"[1, 3]"
1291,"[1, 11]"
1292,"[1, 7]"
1293,"[1, 10]"
1294,"[1, 6]"
1295,"[1, 9]"
1296,"[1, 6]"
1297,"[1, 9]"
1298,"[1, 6]"
1299,"[1, 11]"
1300,"[1, 9]"
1301,"[1, 5]"
1302,"[1, 27]"
1303,"[4, 16, 138, 569, 1089, 1400, 1436, 1577, 1176, 401, 11]"
1304,"[1, 6]"
1305,"[1, 1]"
1306,"[2, 17, 202, 603, 939, 1412, 1381, 1705, 979, 491, 99]"
1307,"[1, 13]"
1308,"[1, 13]"
1309,"[1, 11]"
1310,"[1, 2]"
1311,"[3, 33, 278, 717, 1157, 1675, 1648, 807, 907, 729, 395, 34]"
1312,"[1, 5]"
1313,"[1, 3]"
1314,"[1, 5]"
1315,"[1, 4]"
1316,"[1, 5]"
1317,"[1, 11]"
1318,"[1, 17]"
1319,"[2, 18, 237, 514, 1008, 1547, 1651, 1146, 1155, 653, 353, 235]"
1320,"[1, 3]"
1321,"[1, 1]"
1322,"[1, 3]"
1323,"[6, 50, 364, 668, 871, 1150, 1117, 1154, 1006, 655, 44]"
1324,"[1, 5]"
1325,"[1, 6]"
1326,"[1, 3]"
1327,"[1, 9]"
1328,"[1, 4]"
1329,"[1, 7]"
1330,"[1, 1]"
1331,"[1, 3]"
1332,"[1, 1]"
1333,"[1, 1]"
1334,"[1, 1]"
1335,"[1, 10]"
1336,"[1, 5]"
1337,"[1, 12]"
1338,"[4, 38, 220, 777, 1059, 1003, 2100, 1633, 1352, 1044, 486, 1236, 1049, 1718, 1644, 1337, 718, 418, 47]"
1339,"[1, 11]"
1340,"[1, 3]"
1341,"[1, 2]"
1342,"[1, 1]"
1343,"[1, 1]"
1344,"[1, 2]"
1345,"[1, 1]"
1346,"[1, 1]"
1347,"[1, 2]"
1348,"[1, 3]"
1349,"[1, 4]"
1350,"[1, 4]"
1351,"[1, 5]"
1352,"[1, 7]"
1353,"[1, 8]"
1354,"[1, 9]"
1355,"[1, 6]"
1356,"[1, 10]"
1357,"[1, 13]"
1358,"[1, 14]"
1359,"[1, 4]"
1360,"[2, 11, 171, 424, 849, 1670, 1676, 1910, 1229, 571, 332, 305, 152]"
1361,"[1, 15]"
1362,"[1, 8]"
1363,"[1, 5]"
1364,"[7, 45, 262, 695, 1268, 1313, 1494, 912, 448, 203, 45]"
1365,"[1, 18]"
1366,"[9, 65, 281, 897, 1235, 1728, 2156, 997, 491, 193, 58]"
1367,"[1, 4]"
1368,"[1, 4]"
1369,"[1, 4]"
1370,"[1, 1]"
1371,"[1, 1]"
1372,"[1, 3]"
1373,"[8, 47, 181, 531, 975, 1254, 1810, 1225, 803, 236]"
1374,"[1, 17]"
1375,"[1, 2]"
1376,"[1, 1]"
1377,"[1, 1]"
1378,"[1, 1]"
1379,"[1, 1]"
1380,"[1, 7]"
1381,"[1, 12]"
1382,"[1, 13]"
1383,"[1, 8]"
1384,"[1, 12]"
1385,"[1, 10]"
1386,"[1, 5]"
1387,"[1, 7]"
1388,"[1, 4]"
1389,"[1, 1]"
1390,"[1, 2]"
1391,"[1, 7]"
1392,"[1, 8]"
1393,"[1, 6]"
1394,"[1, 6]"
1395,"[1, 6]"
1396,"[1, 5]"
1397,"[1, 4]"
1398,"[1, 3]"
1399,"[1, 4]"
1400,"[1, 3]"
1401,"[1, 5]"
1402,"[1, 8]"
1403,"[1, 12]"
1404,"[1, 11]"
1405,"[1, 9]"
1406,"[1, 12]"
1407,"[1, 14]"
1408,"[1, 15]"
1409,"[1, 16]"
1410,"[1, 6]"
1411,"[1, 6]"
1412,"[1, 13]"
1413,"[1, 5]"
1414,"[1, 5]"
1415,"[7, 31, 183, 596, 1124, 1222, 1628, 859, 1526, 901, 1251, 1792, 2626, 2728, 1849, 1316, 1665, 2219, 2857, 3188, 2646, 1973, 2018, 2416, 2711, 2829, 3269, 3415, 2809, 2791, 2675, 2924, 3108, 3345, 3931, 3369, 3047, 3014, 3341, 3493, 3833, 3630, 3307, 3385, 3485, 3490, 3786, 3831, 3624, 3517, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750, 3956, 3632, 3563, 3482, 3750]"
1416,"[1, 8]"
1417,"[1, 11]"
1418,"[1, 2]"
1419,"[1, 2]"
1420,"[1, 6]"
1421,"[1, 7]"
1422,"[1, 6]"
1423,"[1, 18]"
1424,"[1, 25]"
1425,"[1, 22]"
