,size,duration
996,81,3
997,79,3
998,50,3
999,65,3
1000,2,2
1001,2,2
1002,2,2
1003,3,2
1004,2,2
1005,3,2
1006,2,2
1007,5,2
1008,4,2
1009,156,4
1010,3,2
1011,2,2
1012,6,2
1013,4,2
1014,13,2
1015,18,2
1016,12,2
1017,12,2
1018,6,2
1019,4,2
1020,6,2
1021,4,2
1022,40701,55
1023,17,2
1024,6,2
1025,8662,11
1026,2,2
1027,2,2
1028,4,2
1029,2,2
1030,3,2
1031,3,2
1032,5,2
1033,2,2
1034,11,2
1035,2,2
1036,3,2
1037,4,2
1038,2,2
1039,4,2
1040,2,2
1041,3,2
1042,5,2
1043,3,2
1044,2,2
1045,5,2
1046,3,2
1047,3,2
1048,3,2
1049,5,2
1050,2,2
1051,10,2
1052,13,2
1053,8,2
1054,5,2
1055,2,2
1056,6,2
1057,17,2
1058,15,2
1059,12,2
1060,10,2
1061,6,2
1062,16,2
1063,10,2
1064,2,2
1065,7,2
1066,2,2
1067,5,2
1068,10,2
1069,2,2
1070,8,2
1071,13,2
1072,2,2
1073,3,2
1074,5,2
1075,6,2
1076,9,2
1077,11,2
1078,3,2
1079,5,2
1080,7,2
1081,9,2
1082,12,2
1083,14,2
1084,6,2
1085,15,2
1086,9,2
1087,4,2
1088,2,2
1089,2,2
1090,8,2
1091,8,2
1092,7,2
1093,3,2
1094,3,2
1095,5,2
1096,2,2
1097,3,2
1098,5,2
1099,7,2
1100,4,2
1101,9,2
1102,4,2
1103,6,2
1104,5,2
1105,7,2
1106,8,2
1107,10,2
1108,7,2
1109,11,2
1110,2761461,776
1111,23,2
1112,7,2
1113,6,2
1114,6,2
1115,29,2
1116,5,2
1117,5,2
1118,3,2
1119,2,2
1120,2,2
1121,20,2
1122,6,2
1123,8,2
1124,7,2
1125,5,2
1126,20,2
1127,11,2
1128,3,2
1129,15,2
1130,20,2
1131,2,2
1132,2,2
1133,2,2
1134,2,2
1135,2,2
1136,2,2
1137,4,2
1138,2,2
