,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
103,,,,,,,41,11,30
104,,,,,,,35,8,27
105,,,,,,,30,5,25
106,,,,,,,43,2,41
107,,,,,,,36,10,26
108,,,,,,,41,6,35
109,,,,,,,52,11,41
110,,,,,,,76,32,44
111,,,,,,,77,53,24
112,,,,,,,80,48,32
113,,,,,,,87,50,37
114,,,,,,,102,65,37
115,,,,,,,127,91,36
116,,,,,,,205,167,38
117,,,,,,,435,412,23
118,,,,,,,994,990,4
119,,,,,,,541,541,0
120,,,,,,,87,86,1
121,,,,,,,52,52,0
122,,,,,,,21,15,6
123,,,,,,,10,2,8
124,,,,,,,15,0,15
125,,,,,,,27,0,27
126,,,,,,,44,5,39
127,,,,,,,42,9,33
128,,,,,,,35,6,29
129,,,,,,,31,5,26
130,,,,,,,26,3,23
131,,,,,,,44,5,39
132,,,,,,,50,10,40
133,,,,,,,49,17,32
134,,,,,,,47,10,37
135,,,,,,,49,15,34
136,,,,,,,43,17,26
137,,,,,,,53,11,42
138,,,,,,,52,18,34
139,,,,,,,50,17,33
140,,,,,,,53,11,42
141,,,,,,,64,19,45
142,,,,,,,70,35,35
143,,,,,,,74,41,33
144,,,,,,,75,46,29
145,,,,,,,81,51,30
146,,,,,,,75,49,26
147,,,,,,,72,44,28
148,,,,,,,72,39,33
149,,,,,,,67,38,29
150,,,,,,,71,35,36
151,,,,,,,75,44,31
152,,,,,,,76,47,29
153,,,,,,,65,42,23
154,,,,,,,63,34,29
155,,,,,,,47,24,23
156,,,,,,,41,15,26
157,,,,,,,43,8,35
158,,,,,,,41,14,27
159,,,,,,,40,11,29
160,,,,,,,32,7,25
161,,,,,,,38,5,33
162,,,,,,,49,8,41
163,,,,,,,54,14,40
164,,,,,,,54,23,31
165,,,,,,,54,23,31
166,,,,,,,51,17,34
167,,,,,,,48,21,27
168,,,,,,,54,22,32
169,,,,,,,64,28,36
170,,,,,,,63,34,29
171,,,,,,,58,33,25
172,,,,,,,54,28,26
173,,,,,,,47,18,29
174,,,,,,,53,13,40
175,,,,,,,47,12,35
176,,,,,,,51,16,35
177,,,,,,,52,15,37
178,,,,,,,50,21,29
179,,,,,,,39,11,28
180,,,,,,,42,10,32
181,,,,,,,47,13,34
182,,,,,,,43,15,28
183,,,,,,,41,9,32
184,,,,,,,45,8,37
185,,,,,,,42,10,32
186,,,,,,,36,7,29
187,,,,,,,37,3,34
188,,,,,,,39,4,35
189,,,,,,,47,6,41
190,,,,,,,59,20,39
191,,,,,,,52,27,25
192,,,,,,,43,18,25
193,,,,,,,52,11,41
194,,,,,,,51,19,32
195,,,,,,,60,22,38
196,,,,,,,50,26,24
197,,,,,,,45,15,30
198,,,,,,,41,10,31
199,,,,,,,33,4,29
200,,,,,,,43,4,39
201,,,,,,,47,9,38
202,,,,,,,40,20,20
203,,,,,,,40,5,35
204,,,,,,,44,9,35
205,,,,,,,59,11,48
206,,,,,,,62,29,33
207,,,,,,,67,28,39
208,,,,,,,58,33,25
209,,,,,,,52,24,28
210,,,,,,,55,24,31
211,,,,,,,47,19,28
212,,,,,,,49,12,37
213,,,,,,,37,12,25
214,,,,,,,47,9,38
215,,,,,,,42,16,26
216,,,,,,,38,8,30
217,,,,,,,41,9,32
218,,,,,,,47,9,38
219,,,,,,,30,8,22
220,,,,,,,38,4,34
221,,,,,,,34,12,22
222,,,,,,,34,6,28
223,,,,,,,46,6,40
224,,,,,,,46,8,38
225,,,,,,,51,19,32
226,,,,,,,55,18,37
227,,,,,,,63,24,39
228,,,,,,,66,28,38
229,,,,,,,62,37,25
230,,,,,,,64,28,36
231,,,,,,,68,35,33
232,,,,,,,77,42,35
233,,,,,,,73,42,31
234,,,,,,,78,49,29
235,,,,,,,68,38,30
236,,,,,,,64,30,34
237,,,,,,,87,38,49
238,,,,,,,95,67,28
239,,,,,,,111,82,29
240,,,,,,,153,114,39
241,,,,,,,278,251,27
242,,,,,,,686,668,18
243,,,,,,,999,998,1
244,,,,,,,176,176,0
245,,,,,,,72,72,0
246,,,,,,,45,45,0
247,,,,,,,12,10,2
248,,,,,,,8,1,7
249,,,,,,,15,0,15
250,,,,,,,35,0,35
251,,,,,,,43,7,36
252,,,,,,,51,17,34
253,,,,,,,51,17,34
254,,,,,,,61,19,42
255,,,,,,,56,25,31
256,,,,,,,47,22,25
257,,,,,,,52,19,33
258,,,,,,,66,27,39
259,,,,,,,67,35,32
260,,,,,,,71,36,35
261,,,,,,,71,43,28
262,,,,,,,82,43,39
263,,,,,,,89,60,29
264,,,,,,,108,79,29
265,,,,,,,130,113,17
266,,,,,,,183,161,22
