run,evalanche_size,evalanche_duration,density,cooldown,branching_ratio,emperical_branching_ratio
5,"[0, 0, 0, 3, 0, 1]","[0, 0, 0, 2, 0, 1]",0.0,1,0.5644189458423445,0.3888888888888889
6,"[1, 1, 2, 13, 4, 0, 0, 0]","[1, 1, 2, 8, 2, 0, 0, 0]",1.998001998001998e-05,1,0.5644189458423445,0.74
7,"[0, 0, 0, 0, 0, 6, 0, 2, 6, 0]","[0, 0, 0, 0, 0, 6, 0, 2, 4, 0]",2.997002997002997e-05,1,0.5644189458423445,0.6666666666666666
8,"[1, 0, 0, 0, 1, 0, 3, 1]","[1, 0, 0, 0, 1, 0, 1, 1]",0.0,1,0.5644189458423445,0.5
9,"[0, 0, 0, 0, 2, 1, 0, 3]","[0, 0, 0, 0, 2, 1, 0, 2]",9.99000999000999e-06,1,0.5644189458423445,0.5
0,"[0, 16, 4, 7, 3, 4, 1, 0, 0]","[0, 11, 2, 6, 3, 4, 1, 0, 0]",0.0,3,0.5644189458423445,0.8217592592592592
1,"[0, 0, 0, 0, 0, 0, 4, 1, 0, 1, 6, 0]","[0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 3, 0]",1.998001998001998e-05,3,0.5644189458423445,0.5588235294117647
2,"[2, 0, 0, 5, 1, 0]","[2, 0, 0, 3, 1, 0]",0.0,3,0.5644189458423445,0.5
3,"[0, 0, 2, 0, 1, 0]","[0, 0, 2, 0, 1, 0]",9.99000999000999e-06,3,0.5644189458423445,0.375
4,"[0, 0, 0, 0, 1, 6]","[0, 0, 0, 0, 1, 3]",0.0,3,0.5644189458423445,0.5166666666666666
5,"[2, 0, 0, 0, 3, 1, 1, 1, 1, 1]","[2, 0, 0, 0, 3, 1, 1, 1, 1, 1]",0.0,3,0.5644189458423445,0.45454545454545453
6,"[3, 0, 0, 8, 0]","[2, 0, 0, 5, 0]",0.0,3,0.5644189458423445,0.7575757575757577
7,"[3, 2, 1, 3, 0, 0, 3, 3, 0, 0]","[2, 1, 1, 3, 0, 0, 2, 2, 0, 0]",3.996003996003996e-05,3,0.5644189458423445,0.6052631578947368
8,"[1, 3, 1, 1, 0, 0, 0, 0]","[1, 2, 1, 1, 0, 0, 0, 0]",9.99000999000999e-06,3,0.5644189458423445,0.4230769230769231
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3]",1.998001998001998e-05,3,0.5644189458423445,0.2727272727272727
0,"[1, 2, 0, 2, 0]","[1, 1, 0, 2, 0]",0.0,5,0.5644189458423445,0.5555555555555556
1,"[5, 0, 1, 0, 0, 0, 0, 0, 2, 0]","[4, 0, 1, 0, 0, 0, 0, 0, 2, 0]",5.994005994005995e-05,5,0.5644189458423445,0.25
2,"[8, 0, 1, 6, 0, 0, 1, 2, 3, 0, 1, 1, 1, 0, 3, 1]","[7, 0, 1, 4, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 2, 1]",0.0,5,0.5644189458423445,0.6851851851851851
3,"[4, 0, 0, 1, 0]","[3, 0, 0, 1, 0]",0.0,5,0.5644189458423445,0.5
4,"[0, 0, 2, 10, 3]","[0, 0, 2, 6, 1]",0.0,5,0.5644189458423445,0.858974358974359
5,"[3, 0, 1, 2, 0, 0, 0, 9]","[2, 0, 1, 2, 0, 0, 0, 5]",3.996003996003996e-05,5,0.5644189458423445,0.5961538461538461
6,"[0, 0, 0, 1, 0, 0, 10, 0, 7, 0, 2]","[0, 0, 0, 1, 0, 0, 6, 0, 5, 0, 2]",1.998001998001998e-05,5,0.5644189458423445,0.7028985507246376
7,"[0, 0, 0, 0, 0, 0, 4, 1]","[0, 0, 0, 0, 0, 0, 3, 1]",0.0,5,0.5644189458423445,0.375
8,"[1, 0, 0, 0, 0, 0, 1, 1, 4, 0, 2, 6, 0]","[1, 0, 0, 0, 0, 0, 1, 1, 3, 0, 2, 6, 0]",1.998001998001998e-05,5,0.5644189458423445,0.5416666666666666
9,"[2, 0, 5, 0, 0, 0, 2, 1, 0, 1, 1, 2, 0, 0]","[2, 0, 4, 0, 0, 0, 2, 1, 0, 1, 1, 2, 0, 0]",3.996003996003996e-05,5,0.5644189458423445,0.4423076923076923
0,"[0, 4, 2, 0, 7, 0, 0, 5, 8, 1, 0, 0, 1]","[0, 2, 2, 0, 4, 0, 0, 4, 5, 1, 0, 0, 1]",8.991008991008991e-05,0,0.6371374928515668,0.7013888888888888
1,"[1, 0, 0, 0, 46, 0, 3, 3, 0, 2]","[1, 0, 0, 0, 32, 0, 3, 3, 0, 2]",2.997002997002997e-05,0,0.6371374928515668,0.859722222222222
2,"[5, 0, 5, 1, 0, 0, 1, 22, 2, 0, 0]","[5, 0, 3, 1, 0, 0, 1, 13, 2, 0, 0]",5.994005994005994e-05,0,0.6371374928515668,0.7442028985507246
3,"[0, 0, 4, 0, 0, 0, 0, 0, 2, 1, 0, 0, 6, 0, 2]","[0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 0, 1]",9.99000999000999e-06,0,0.6371374928515668,0.5652173913043478
4,"[15, 0, 0, 0, 1, 7, 3, 0, 0, 0, 4, 0]","[12, 0, 0, 0, 1, 5, 2, 0, 0, 0, 2, 0]",0.00015984015984015984,0,0.6371374928515668,0.5666666666666667
